datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27
26.09.2021;Bundestagswahl;14713000;3079;3079;1;1;851;351;0;1202;576;4;4;572;4;572;107;102;76;57;125;88;109;128;37;44;84;90;0;18;13;13;0;2;13;13;2;1;0;1;0;0;2;0;2;3;0;1;0;2;0;0;2;2;0;4;0;1;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3089;3089;1;1;1020;393;0;1413;447;5;5;442;8;439;62;63;75;58;108;75;74;78;25;23;61;91;0;16;15;10;0;1;8;8;6;3;2;0;0;1;1;0;4;3;0;2;0;0;0;2;1;0;0;2;0;2;0;1;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3101;3101;1;1;840;465;0;1305;563;5;2;561;2;561;64;67;79;50;119;80;97;108;37;63;115;135;0;13;24;16;0;0;8;6;6;5;2;1;0;1;2;0;7;6;0;2;0;0;0;0;1;1;0;0;0;1;0;6;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3109;3109;1;1;901;436;0;1337;641;5;3;638;5;636;75;68;92;70;119;91;108;127;63;74;122;131;0;24;23;15;0;0;7;8;5;4;6;2;0;1;1;0;14;10;0;2;0;0;0;1;3;2;0;1;0;0;0;5;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3111;3111;1;1;752;340;0;1092;542;8;5;537;5;537;82;77;67;52;98;54;81;90;63;64;100;120;0;19;23;20;0;2;11;11;2;3;4;5;0;3;1;1;4;5;0;2;0;0;0;0;1;1;0;4;0;2;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3119;3119;1;1;840;450;0;1290;617;2;1;616;1;616;69;70;103;79;139;71;98;114;46;59;100;139;0;14;21;24;0;0;8;10;6;8;7;4;0;4;1;0;17;12;0;2;0;2;0;0;0;0;0;1;0;3;0;0;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;3129;3129;1;1;867;412;0;1279;609;6;6;603;5;604;80;83;89;67;132;95;83;104;59;70;105;116;0;12;27;16;0;0;12;12;7;6;2;1;0;0;0;1;6;5;0;1;0;0;0;3;1;1;0;1;0;3;0;7;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3139;3139;1;1;760;433;0;1193;492;7;5;487;3;489;90;88;76;50;71;57;62;65;47;56;88;92;0;21;12;14;0;1;10;5;3;6;8;5;0;1;1;1;15;11;0;3;0;3;0;1;3;1;0;2;0;3;0;3;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;3149;3149;1;1;700;396;0;1096;491;5;3;488;3;488;70;69;114;96;78;49;80;97;41;49;76;89;0;11;8;7;0;0;8;10;2;0;0;0;0;2;1;1;8;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;2;0
26.09.2021;Bundestagswahl;14713000;3151;3151;1;1;962;354;0;1316;613;4;12;601;11;602;91;88;121;96;102;84;160;178;51;57;44;53;0;17;8;5;0;0;7;4;3;2;6;1;0;1;0;0;7;10;0;4;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;3159;3159;1;1;777;401;0;1178;533;0;2;531;3;530;86;81;117;94;84;60;95;113;45;61;66;76;0;11;8;5;0;0;11;7;5;4;2;1;0;2;0;5;8;7;0;0;0;1;0;0;2;1;0;0;0;1;0;0;;;;;;;;;2;0
